Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure
11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,S12minusS92,-1086.5000000000005
11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L6minusL1,-53.56999999999971
11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L14minusL12,-23.5
11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L18minusL12,-49.090000000000146
11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L18minusL14,-25.590000000000146
11,-4764.189999999944,6461.0800000000745,2650.97,-2424.31,36.96,L18minusL16,-129.19000000000005
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,S02minusS92,-811.3000000000002
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,S12minusS92,-2206.5899999999997
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,S12minusS02,-1395.2899999999995
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L6minusL1,-1186.2199999999998
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L12minusL1,-1430.8499999999995
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L14minusL1,-1407.5799999999995
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L16minusL1,-1330.0499999999997
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L18minusL1,-1575.9299999999994
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L12minusL6,-244.62999999999965
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L14minusL6,-221.35999999999967
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L16minusL6,-143.82999999999993
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L18minusL6,-389.7099999999996
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L18minusL12,-145.07999999999993
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L18minusL14,-168.3499999999999
12,-3305.4500000000116,11509.389999999665,3358.61,-2571.16,18.2,L18minusL16,-245.87999999999965
13,-4482.609999999986,7257.280000000261,2466.59,-2423.01,30.54,S02minusS92,-550.9499999999998
13,-4482.609999999986,7257.280000000261,2466.59,-2423.01,30.54,L6minusL1,-89.82000000000016
13,-4482.609999999986,7257.280000000261,2466.59,-2423.01,30.54,L16minusL14,-50.65000000000009
13,-4482.609999999986,7257.280000000261,2466.59,-2423.01,30.54,L18minusL14,-2.9200000000000728
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,S02minusS92,-887.19
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,S12minusS92,-1550.0500000000002
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,S12minusS02,-662.8600000000001
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L6minusL1,-310.53999999999996
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L14minusL1,-165.71000000000004
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L16minusL1,-293.6099999999997
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L18minusL1,-467.4699999999998
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L18minusL6,-156.92999999999984
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L14minusL12,-376.8100000000004
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L16minusL12,-504.71000000000004
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L18minusL12,-678.5700000000002
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L16minusL14,-127.89999999999964
