,Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure,co,ai,4D qual Fact
164,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,S12minusS02,-662.8600000000001,2.46,3.54,55.03
165,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L6minusL1,-310.54,-57.33,1.46,55.03
166,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L14minusL1,-165.71000000000004,-81.66,3.65,55.03
167,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L16minusL1,-293.6099999999997,-86.86,4.77,55.03
168,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L18minusL1,-467.46999999999986,-102.46,4.1,55.03
169,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L18minusL6,-156.92999999999984,-44.22,2.67,55.03
170,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L14minusL12,-376.8100000000004,-14.62,1.37,55.03
171,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L16minusL12,-504.71,-29.54,2.35,55.03
172,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L18minusL12,-678.5700000000003,-29.49,1.65,55.03
173,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L16minusL14,-127.89999999999964,-13.97,1.11,55.03
174,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L18minusL14,-301.7599999999997,-14.11,0.37,55.03
175,14,-5394.760000000009,6664.110000000334,2994.53,-2433.69,34.22,L18minusL16,-173.86000000000013,-4.09,0.01,55.03
179,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,S02minusS92,-952.5099999999996,8.25,12.95,15.37
180,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,S12minusS92,-1702.0899999999995,11.69,9.76,15.37
181,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,S12minusS02,-749.5799999999998,4.08,0.71,15.37
182,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L6minusL1,-131.32999999999993,-51.41,0.12,15.37
183,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L12minusL1,-133.45000000000027,-138.25,6.17,15.37
184,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L14minusL1,-514.8900000000003,-163.8,8.96,15.37
185,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L16minusL1,-440.22000000000025,-156.18,8.61,15.37
186,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L18minusL1,-720.3000000000003,-205.84,12.68,15.37
187,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L12minusL6,-2.1200000000003456,-80.94,6.57,15.37
188,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L14minusL6,-383.5600000000004,-100.06,9.4,15.37
189,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L16minusL6,-308.8900000000003,-100.06,9.05,15.37
190,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L18minusL6,-588.9700000000003,-127.4,13.13,15.37
191,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L14minusL12,-381.44000000000005,-15.02,2.89,15.37
192,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L16minusL12,-306.77,-7.75,3.22,15.37
193,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L18minusL12,-586.8499999999998,-25.18,6.45,15.37
194,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L18minusL14,-205.40999999999985,-14.12,3.88,15.37
195,16,-3894.4299999999935,6854.040000000036,2758.02,-2406.37,15.88,L18minusL16,-280.0799999999999,-18.61,4.08,15.37
196,17,-5756.7299999999805,5910.719999999738,3215.5,-2438.0,46.0,S02minusS92,-1060.0800000000004,5.81,13.16,63.91
197,17,-5756.7299999999805,5910.719999999738,3215.5,-2438.0,46.0,S12minusS92,-519.2900000000004,6.97,18.01,63.91
198,17,-5756.7299999999805,5910.719999999738,3215.5,-2438.0,46.0,L6minusL1,-124.48000000000002,-30.16,3.14,63.91
199,17,-5756.7299999999805,5910.719999999738,3215.5,-2438.0,46.0,L14minusL12,-733.96,-4.6,1.03,63.91
200,17,-5756.7299999999805,5910.719999999738,3215.5,-2438.0,46.0,L16minusL12,-1160.5099999999998,-13.48,2.7,63.91
201,17,-5756.7299999999805,5910.719999999738,3215.5,-2438.0,46.0,L18minusL12,-1138.58,-19.89,2.21,63.91
202,17,-5756.7299999999805,5910.719999999738,3215.5,-2438.0,46.0,L16minusL14,-426.54999999999967,-7.89,1.73,63.91
203,17,-5756.7299999999805,5910.719999999738,3215.5,-2438.0,46.0,L18minusL14,-404.61999999999983,-13.87,1.27,63.91
222,19,-3908.8099999999977,7523.209999999964,3085.35,-2407.58,19.36,S02minusS92,-1142.94,3.26,12.43,49.52
223,19,-3908.8099999999977,7523.209999999964,3085.35,-2407.58,19.36,S12minusS92,-101.09000000000015,3.49,24.51,49.52
224,19,-3908.8099999999977,7523.209999999964,3085.35,-2407.58,19.36,L6minusL1,-54.9699999999998,-61.87,0.0,49.52
225,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,S02minusS92,-567.6300000000001,0.26,0.25,100.0
226,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,S12minusS92,-1462.7799999999993,0.86,4.7,100.0
227,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,S12minusS02,-895.1499999999997,0.74,4.83,100.0
