,x,y,Z,0
170,-4979.349999999977,5101.099999999628,-2438.17,-263.287808653867
171,-4979.349999999977,5101.099999999628,-2438.17,-384.39588863875645
172,-4979.349999999977,5101.099999999628,-2438.17,-384.39588863875645
173,-4979.349999999977,5101.099999999628,-2438.17,-374.10569782101186
174,-4979.349999999977,5101.099999999628,-2438.17,-263.287808653867
175,-4979.349999999977,5101.099999999628,-2438.17,-263.287808653867
176,-4979.349999999977,5101.099999999628,-2438.17,-263.287808653867
177,-4979.349999999977,5101.099999999628,-2438.17,-263.287808653867
178,-4979.349999999977,5101.099999999628,-2438.17,-263.287808653867
179,-4979.349999999977,5101.099999999628,-2438.17,-263.287808653867
180,-3123.8800000000047,5992.450000000185,-2473.73,-1139.990737542191
181,-3123.8800000000047,5992.450000000185,-2473.73,-1645.551053256475
182,-3123.8800000000047,5992.450000000185,-2473.73,-103.10601008387792
183,-3123.8800000000047,5992.450000000185,-2473.73,-103.10601008387792
184,-3123.8800000000047,5992.450000000185,-2473.73,-103.10601008387792
185,-3123.8800000000047,5992.450000000185,-2473.73,-103.10601008387792
186,-3123.8800000000047,5992.450000000185,-2473.73,-103.10601008387792
187,-3123.8800000000047,5992.450000000185,-2473.73,-103.10601008387792
188,-6231.75,3554.4500000001867,-2518.68,-2847.7481197280304
189,-6231.75,3554.4500000001867,-2518.68,-2441.211372797244
190,-6231.75,3554.4500000001867,-2518.68,-1094.8035164332966
191,-6231.75,3554.4500000001867,-2518.68,-1076.456119969815
192,-6231.75,3554.4500000001867,-2518.68,-1076.456119969815
193,-6231.75,3554.4500000001867,-2518.68,-1076.456119969815
194,-6231.75,3554.4500000001867,-2518.68,-1456.8171873510425
195,-6231.75,3554.4500000001867,-2518.68,-948.9945977826868
196,-6231.75,3554.4500000001867,-2518.68,-692.3217572663833
197,-6231.75,3554.4500000001867,-2518.68,-693.0377572663833
198,-6231.75,3554.4500000001867,-2518.68,-391.57119810170286
199,-6559.890000000013,6084.299999999815,-2484.28,-1733.2695725281096
200,-6559.890000000013,6084.299999999815,-2484.28,-1873.3877200566244
201,-6559.890000000013,6084.299999999815,-2484.28,-899.8961829473332
202,-6559.890000000013,6084.299999999815,-2484.28,-327.5323278935118
203,-6559.890000000013,6084.299999999815,-2484.28,-507.60319484295434
204,-6559.890000000013,6084.299999999815,-2484.28,-662.5439198286392
205,-6559.890000000013,6084.299999999815,-2484.28,-540.181455854366
206,-6559.890000000013,6084.299999999815,-2484.28,-283.2667899817215
207,-6559.890000000013,6084.299999999815,-2484.28,-367.0174236496774
208,-6559.890000000013,6084.299999999815,-2484.28,-367.0174236496774
209,-6559.890000000013,6084.299999999815,-2484.28,-208.4189334044848
210,-6559.890000000013,6084.299999999815,-2484.28,-267.517516737818
211,-6559.890000000013,6084.299999999815,-2484.28,-208.4189334044848
212,-4782.760000000009,6344.519999999553,-2424.82,-997.28636342063
213,-4782.760000000009,6344.519999999553,-2424.82,-955.5552917304542
214,-4782.760000000009,6344.519999999553,-2424.82,-209.80750207106985
215,-4782.760000000009,6344.519999999553,-2424.82,-173.1459176282495
216,-4782.760000000009,6344.519999999553,-2424.82,-357.9997362356788
217,-4782.760000000009,6344.519999999553,-2424.82,-173.1459176282495
218,-4782.760000000009,6344.519999999553,-2424.82,-173.1459176282495
219,-4975.75,7009.370000000114,-2411.08,-1179.0836686075197
220,-4975.75,7009.370000000114,-2411.08,-1479.3064805344352
221,-4975.75,7009.370000000114,-2411.08,-331.25067858569
222,-4975.75,7009.370000000114,-2411.08,-420.04473604206805
223,-4975.75,7009.370000000114,-2411.08,-327.3114379352778
224,-4975.75,7009.370000000114,-2411.08,-420.04473604206805
225,-4975.75,7009.370000000114,-2411.08,-327.3114379352778
226,-1835.0,8877.69000000041,-2480.57,-1593.129077713987
227,-1835.0,8877.69000000041,-2480.57,-1683.2928192728966
228,-1835.0,8877.69000000041,-2480.57,-155.28055599914424
229,-1835.0,8877.69000000041,-2480.57,-155.28055599914424
230,-1835.0,8877.69000000041,-2480.57,-155.28055599914424
231,-1835.0,8877.69000000041,-2480.57,-155.28055599914424
232,-3011.8099999999977,10252.410000000147,-2504.99,-1272.9535225897087
233,-3011.8099999999977,10252.410000000147,-2504.99,-265.8017388678776
234,-1848.960000000021,9651.019999999551,-2515.1,-1937.0320752717193
235,-1848.960000000021,9651.019999999551,-2515.1,-1937.0320752717193
236,-1848.960000000021,9651.019999999551,-2515.1,-259.82041034652383
237,-1848.960000000021,9651.019999999551,-2515.1,-259.82041034652383
238,-1848.960000000021,9651.019999999551,-2515.1,-259.82041034652383
239,-1848.960000000021,9651.019999999551,-2515.1,-259.82041034652383
240,-1848.960000000021,9651.019999999551,-2515.1,-259.82041034652383
241,-1848.960000000021,9651.019999999551,-2515.1,-259.82041034652383
242,-4853.699999999953,7253.360000000334,-2411.41,-1146.3350707211712
243,-4853.699999999953,7253.360000000334,-2411.41,-1532.5300958050561
244,-4853.699999999953,7253.360000000334,-2411.41,-283.67966684700843
245,-4853.699999999953,7253.360000000334,-2411.41,-397.0329935405708
246,-4853.699999999953,7253.360000000334,-2411.41,-413.3969437955998
247,-4853.699999999953,7253.360000000334,-2411.41,-303.83952431763583
248,-4853.699999999953,7253.360000000334,-2411.41,-397.0329935405708
249,-4853.699999999953,7253.360000000334,-2411.41,-279.74042619659616
250,-3730.9099999999744,7926.179999999702,-2415.68,-1370.398072299871
251,-3730.9099999999744,7926.179999999702,-2415.68,-434.4109389033186
252,-4818.949999999953,7565.389999999666,-2412.29,-1339.6736617271042
253,-4818.949999999953,7565.389999999666,-2412.29,-1644.0725749022008
254,-4818.949999999953,7565.389999999666,-2412.29,-833.1537797135649
255,-4818.949999999953,7565.389999999666,-2412.29,-283.4837723567671
256,-4818.949999999953,7565.389999999666,-2412.29,-273.1935815390225
257,-4818.949999999953,7565.389999999666,-2412.29,-293.35343900964983
258,-4818.949999999953,7565.389999999666,-2412.29,-297.3253991339826
259,-4818.949999999953,7565.389999999666,-2412.29,-297.3253991339826
260,-4818.949999999953,7565.389999999666,-2412.29,-247.74752472346057
261,-4818.949999999953,7565.389999999666,-2412.29,-247.74752472346057
262,-4818.949999999953,7565.389999999666,-2412.29,-247.74752472346057
263,-4818.949999999953,7565.389999999666,-2412.29,-273.1935815390225
264,-5843.540000000035,4119.530000000262,-2509.8,-2363.292177448297
265,-5843.540000000035,4119.530000000262,-2509.8,-2639.5774725557744
266,-5843.540000000035,4119.530000000262,-2509.8,-1448.4832358164404
267,-5843.540000000035,4119.530000000262,-2509.8,-229.16400387678877
268,-5843.540000000035,4119.530000000262,-2509.8,-1076.0744054092524
269,-5843.540000000035,4119.530000000262,-2509.8,-1038.1672751345645
270,-5843.540000000035,4119.530000000262,-2509.8,-1075.3499713425967
271,-5843.540000000035,4119.530000000262,-2509.8,-1058.1427420125206
272,-5843.540000000035,4119.530000000262,-2509.8,-975.0140258029354
273,-5843.540000000035,4119.530000000262,-2509.8,-1162.0748853149732
274,-5843.540000000035,4119.530000000262,-2509.8,-1272.6147317992468
275,-5843.540000000035,4119.530000000262,-2509.8,-964.2093751345644
276,-5843.540000000035,4119.530000000262,-2509.8,-229.16400387678877
277,-5843.540000000035,4119.530000000262,-2509.8,-229.16400387678877
278,-5843.540000000035,4119.530000000262,-2509.8,-212.78492504307286
